35	33	2	0	0	0	0	0	0
1	2	0.0000	0.0000	0.00051	0.00034	0	0	0
2	3	0.0000	0.0000	0.00966	0.00644	0	0	0
3	4	0.0000	0.0000	0.00175	0.00116	0	0	0
3	5	0.0000	0.0000	0.01125	0.0075	0	0	0
5	6	0.0000	0.0000	0.00891	0.00594	0	0	0
6	7	0.0000	0.0000	0.00003	0.00002	0	0	0
7	8	0.0000	0.0000	0.00009	0.00006	0	0	0
8	9	0.113	0.2336	0.00051	0.00034	0	0	0
9	10	0.4518	0.2336	0.01444	0.00963	0	0	0
10	11	0.0000	0.0000	0.00412	0.00274	0	0	0
8	12	0.0000	0.0000	0.00306	0.00204	0	0	0
12	13	0.0000	0.0000	0.0009	0.0006	0	0	0
12	14	0.0206	0.0107	0.00025	0.00016	0	0	0
14	15	0.0000	0.0000	0.00613	0.00408	0	0	0
15	16	0.0000	0.0000	0.00015	0.0001	0	0	0
16	17	0.0000	0.0000	0.00699	0.00455	0	0	0
16	18	0.0000	0.0000	0.01104	0.00736	0	0	0
18	19	0.0223	0.0115	0.00003	0.00002	0	0	0
19	20	0.0000	0.0000	0.00003	0.00002	0	0	0
20	21	0.27	0.2162	0.00316	0.00211	0	0	0
19	22	0.0154	0.0080	0.00147	0.00098	0	0	0
22	23	0.0000	0.0000	0.00048	0.00032	0	0	0
22	24	0.0522	0.0270	0.00174	0.00116	0	0	0
24	25	0.0304	0.0157	0.00008	0.00005	0	0	0
25	26	0.3344	0.0683	0.0004	0.00027	0	0	0.1108
26	27	0.0000	0.0000	0.00109	0.00072	0	0	0
27	28	0.1945	0.1557	0.00015	0.0001	0	0	0.1686
24	29	0.2901	0.2066	0.0006	0.0004	0	0	0
29	30	0.0583	0.0301	0.0008	0.00053	0	0	0
30	31	0.0886	0.0709	0.00025	0.00017	0	0	0
30	32	0.092	0.0476	0.00008	0.00005	0	0	0
32	33	0.0000	0.0000	0.00145	0.00097	0	0	0
29	21	0.0000	0.0000	0.00008	0.00005	0	1	0
0	1	4.0000	4.0000	0.00077	0.00051	1	0	0
0	28	2.0000	2.0000	0.00000	0.00000	1	0	0
