24	16	3	0	0	0	0	0
17	1	0.000	0.000	0.00001	0.00001	1	0
18	7	0.330	0.180	0.00001	0.00001	1	0
19	14	0.410	0.210	0.00001	0.00001	1	0
1	2	0.200	0.100	0.0083	0.0080	0	0
2	3	0.130	0.040	0.0098	0.0150	0	0
3	4	0.050	0.020	0.0012	0.0066	0	0
4	5	0	0	0.0025	0.0040	0	0
5	6	0.500	0.220	0.0030	0.0080	0	0
3	11	0.210	0.160	0.0020	0.0040	0	0
11	12	0.050	0.020	0.0039	0.0050	0	0
12	13	0.250	0.150	0.0099	0.0175	0	0
7	8	0.770	0.240	0.0069	0.0099	0	0
8	9	0.180	0.023	0.0058	0.0098	0	0
9	10	0	0	0.0048	0.0080	0	0
14	15	0.220	0.050	0.0081	0.0180	0	0
15	16	0.430	0.030	0.0032	0.0074	0	0
3	8	4	4	0.0069	0.0169	0	1
5	12	2.5	2.5	0.0078	0.0110	0	1
6	13	1.5	1.5	0.0054	0.0160	0	1
10	12	0	0	0.0038	0.0080	0	1
8	14	0	0	0.0062	0.0130	0	1
9	15	0	0	0.0002	0.0041	0	1
10	16	0	0	0.0071	0.0147	0	1
1	8	0	0	0.0024	0.0051	0	1
